condition,description,title,brand,price,product_type,custom_label_0,timestamp
used,Used 2021 GMC Sierra 1500,Pre-Owned 2021 GMC Sierra 1500 Denali Crew Cab,GMC,38000 USD,Truck,Sierra 1500,2024-10-22 18:02:52
used,Used 2020 Honda Odyssey,Pre-Owned 2020 Honda Odyssey EX-L,Honda,28873 USD,Minivan,Odyssey,2024-12-13 01:03:50
used,Used 2021 Buick Enclave,Pre-Owned 2021 Buick Enclave Essence,Buick,32501 USD,SUV,Enclave,2024-05-11 20:25:48
used,Used 2019 GMC Sierra 1500,Pre-Owned 2019 GMC Sierra 1500 Denali Crew Cab,GMC,38324 USD,Truck,Sierra 1500,2024-06-16 08:32:53
used,Used 2022 GMC Yukon,Pre-Owned 2022 GMC Yukon Denali,GMC,65000 USD,SUV,Yukon,2024-09-08 04:13:27
used,Used 2024 GMC Savana 2500,Pre-Owned 2024 GMC Savana 2500 Work Van,GMC,40000 USD,Other,Savana 2500,2024-11-30 01:08:54
used,Used 2023 Buick Envision,Pre-Owned 2023 Buick Envision Preferred,Buick,28837 USD,SUV,Envision,2024-05-18 18:00:27
used,Used 2024 GMC Sierra 3500HD,Pre-Owned 2024 GMC Sierra 3500HD Denali Ultimate Crew Cab,GMC,88297 USD,Truck,Sierra 3500HD,2024-06-25 09:11:29
used,Used 2023 GMC Sierra 2500 HD,Pre-Owned 2023 GMC Sierra 2500 HD AT4 Crew Cab,GMC,62321 USD,Truck,Sierra 2500 HD,2024-02-12 05:49:08
used,Used 2013 International Workstar,Pre-Owned 2013 International Workstar 7500,International,60000 USD,Truck,Workstar,2024-08-09 04:47:44
used,Used 2021 Chevrolet Silverado 3500 HD,Pre-Owned 2021 Chevrolet Silverado 3500 HD LTZ Crew Cab,Chevrolet,59166 USD,Truck,Silverado 3500 HD,2024-05-15 01:21:46
used,Used 2023 GMC Sierra 2500HD,Pre-Owned 2023 GMC Sierra 2500HD SLE Double Cab,GMC,58000 USD,Truck,Sierra 2500HD,2024-12-03 15:32:48
used,Used 2022 Chevrolet Silverado 1500,Pre-Owned 2022 Chevrolet Silverado 1500 ZR2 Crew Cab,Chevrolet,56020 USD,Truck,Silverado 1500,2024-08-12 23:22:01
used,Used 2020 Chevrolet Silverado 3500HD,Pre-Owned 2020 Chevrolet Silverado 3500HD LTZ Crew Cab,Chevrolet,55421 USD,Truck,Silverado 3500HD,2024-09-09 20:48:17
used,Used 2022 Toyota Tundra Hybrid,Pre-Owned 2022 Toyota Tundra Hybrid 1794 Edition Crew Cab,Toyota,54977 USD,Truck,Tundra Hybrid,2024-11-24 06:23:51
used,Used 2021 GMC Yukon,Pre-Owned 2021 GMC Yukon AT4,GMC,52444 USD,SUV,Yukon,2024-10-17 05:52:21
used,Used 2022 Jeep Wagoneer,Pre-Owned 2022 Jeep Wagoneer Series III,Jeep,52158 USD,SUV,Wagoneer,2024-10-24 07:14:29
used,Used 2020 GMC Sierra 3500HD,Pre-Owned 2020 GMC Sierra 3500HD SLT Crew Cab,GMC,52000 USD,Truck,Sierra 3500HD,2024-12-03 21:56:51
used,Used 2023 Jeep Grand Cherokee,Pre-Owned 2023 Jeep Grand Cherokee Summit,Jeep,45936 USD,SUV,Grand Cherokee,2024-10-31 20:31:10
used,Used 2023 Chevrolet Silverado 1500,Pre-Owned 2023 Chevrolet Silverado 1500 RST Crew Cab,Chevrolet,44149 USD,Truck,Silverado 1500,2024-10-05 20:12:21
used,Used 2020 GMC Sierra 1500,Pre-Owned 2020 GMC Sierra 1500 AT4 Crew Cab,GMC,42252 USD,Truck,Sierra 1500,2024-02-03 18:29:57
used,Used 2023 GMC Sierra 1500,Pre-Owned 2023 GMC Sierra 1500 Elevation Double Cab,GMC,40810 USD,Truck,Sierra 1500,2024-05-27 04:32:28
used,Used 2022 Chevrolet Silverado 1500,Pre-Owned 2022 Chevrolet Silverado 1500 RST Crew Cab,Chevrolet,40000 USD,Truck,Silverado 1500,2024-06-03 03:07:48
used,Used 2021 Chevrolet Silverado 1500,Pre-Owned 2021 Chevrolet Silverado 1500 RST Crew Cab,Chevrolet,39000 USD,Truck,Silverado 1500,2024-06-05 15:25:07
used,Used 2022 Ford Bronco Sport,Pre-Owned 2022 Ford Bronco Sport Badlands,Ford,28640 USD,SUV,Bronco Sport,2024-05-06 19:07:44
used,Used 2021 GMC Terrain,Pre-Owned 2021 GMC Terrain SLE,GMC,21056 USD,SUV,Terrain,2024-01-18 00:58:48
used,Used 2020 Chevrolet Blazer,Pre-Owned 2020 Chevrolet Blazer RS,Chevrolet,26940 USD,SUV,Blazer,2024-03-25 01:29:57
used,Used 2023 Chevrolet Malibu,Pre-Owned 2023 Chevrolet Malibu LT,Chevrolet,21627 USD,Sedan,Malibu,2024-11-19 22:57:54
used,Used 2018 Buick Enclave,Pre-Owned 2018 Buick Enclave Premium Group,Buick,21520 USD,SUV,Enclave,2024-08-25 03:10:11
used,Used 2020 Chevrolet Blazer,Pre-Owned 2020 Chevrolet Blazer LT,Chevrolet,21456 USD,SUV,Blazer,2024-10-06 20:11:37
used,Used 2020 GMC Terrain,Pre-Owned 2020 GMC Terrain SLE,GMC,21000 USD,SUV,Terrain,2024-03-12 08:29:45
used,Used 2019 INFINITI QX60,Pre-Owned 2019 INFINITI QX60 LUXE,INFINITI,20903 USD,SUV,QX60,2024-09-14 23:17:22
used,Used 2018 Ram 1500,Pre-Owned 2018 Ram 1500 Big Horn Crew Cab,Ram,20806 USD,Truck,1500,2024-08-19 10:10:10
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20780 USD,SUV,Equinox,2024-02-08 16:59:40
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20602 USD,SUV,Equinox,2024-05-28 06:38:24
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20526 USD,SUV,Equinox,2024-09-07 12:51:43
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20317 USD,SUV,Equinox,2024-11-01 00:27:02
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20049 USD,SUV,Equinox,2024-04-11 21:17:37
used,Used 2021 GMC Terrain,Pre-Owned 2021 GMC Terrain SLE,GMC,19936 USD,SUV,Terrain,2024-05-17 00:57:03
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,21852 USD,SUV,Equinox,2024-01-11 01:48:41
used,Used 2017 Ford Explorer,Pre-Owned 2017 Ford Explorer XLT,Ford,19035 USD,SUV,Explorer,2024-05-27 09:39:12
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,18539 USD,SUV,Equinox,2024-11-28 12:08:37
used,Used 2020 Buick Encore GX,Pre-Owned 2020 Buick Encore GX Select,Buick,18300 USD,SUV,Encore GX,2024-11-03 17:03:04
used,Used 2020 Chevrolet Equinox,Pre-Owned 2020 Chevrolet Equinox LT,Chevrolet,18000 USD,SUV,Equinox,2024-09-23 22:07:24
used,Used 2021 Mazda CX-30,Pre-Owned 2021 Mazda CX-30 Select,Mazda,17875 USD,SUV,CX-30,2024-11-06 22:01:25
used,Used 2021 Chevrolet Trax,Pre-Owned 2021 Chevrolet Trax LT,Chevrolet,17723 USD,SUV,Trax,2024-11-24 15:35:08
used,Used 2018 Chrysler Pacifica,Pre-Owned 2018 Chrysler Pacifica Touring L Plus,Chrysler,16574 USD,Van,Pacifica,2024-06-14 23:00:25
used,Used 2018 Ford Escape,Pre-Owned 2018 Ford Escape SE,Ford,16009 USD,SUV,Escape,2024-05-21 16:22:31
used,Used 2019 Subaru Outback,Pre-Owned 2019 Subaru Outback 2.5i,Subaru,14279 USD,Wagon,Outback,2024-10-06 15:55:01
used,Used 2014 Chevrolet Traverse,Pre-Owned 2014 Chevrolet Traverse LT,Chevrolet,11671 USD,SUV,Traverse,2024-03-18 23:15:39
used,Used 2012 Ram 1500,Pre-Owned 2012 Ram 1500 Express Standard Cab,Ram,10000 USD,Truck,1500,2024-10-27 03:21:41
used,Used 2014 Cadillac SRX,Pre-Owned 2014 Cadillac SRX Luxury,Cadillac,10000 USD,SUV,SRX,2024-09-12 10:58:18
used,Used 2013 Chrysler Town & Country,Pre-Owned 2013 Chrysler Town & Country Touring-L,Chrysler,8507 USD,Minivan,Town & Country,2024-09-12 16:59:02
used,Used 2011 Honda CR-V,Pre-Owned 2011 Honda CR-V EX-L,Honda,7809 USD,SUV,CR-V,2024-07-14 06:45:55
used,Used 2018 Cadillac XT5,Pre-Owned 2018 Cadillac XT5 FWD,Cadillac,18797 USD,SUV,XT5,2024-10-19 11:50:24
used,Used 2018 GMC Sierra 1500,Pre-Owned 2018 GMC Sierra 1500 SLT Crew Cab,GMC,28244 USD,Truck,Sierra 1500,2024-05-03 23:51:16
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,21934 USD,SUV,Equinox,2024-07-30 00:30:28
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,22118 USD,SUV,Equinox,2024-01-21 20:42:23
used,Used 2019 GMC Acadia,Pre-Owned 2019 GMC Acadia Denali,GMC,26918 USD,SUV,Acadia,2024-01-03 11:11:19
used,Used 2021 GMC Canyon,Pre-Owned 2021 GMC Canyon Elevation Standard,GMC,26743 USD,Truck,Canyon,2024-01-08 02:39:11
used,Used 2015 Cadillac Escalade,Pre-Owned 2015 Cadillac Escalade Luxury,Cadillac,26699 USD,SUV,Escalade,2024-05-25 18:21:49
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer LT,Chevrolet,26525 USD,SUV,Blazer,2024-11-13 09:26:14
used,Used 2020 Chevrolet Silverado 1500,Pre-Owned 2020 Chevrolet Silverado 1500 Custom Crew Cab,Chevrolet,26379 USD,Truck,Silverado 1500,2024-11-18 10:37:08
used,Used 2022 GMC Terrain,Pre-Owned 2022 GMC Terrain AT4,GMC,26228 USD,SUV,Terrain,2024-11-29 23:14:33
used,Used 2019 Toyota Highlander,Pre-Owned 2019 Toyota Highlander SE,Toyota,25713 USD,SUV,Highlander,2024-01-27 20:03:57
used,Used 2019 Ford Explorer,Pre-Owned 2019 Ford Explorer XLT,Ford,25442 USD,SUV,Explorer,2024-09-14 18:26:06
used,Used 2023 Buick Encore GX,Pre-Owned 2023 Buick Encore GX Select,Buick,25324 USD,SUV,Encore GX,2024-11-21 09:19:36
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer LT,Chevrolet,25254 USD,SUV,Blazer,2024-09-15 00:41:00
used,Used 2022 Chrysler Pacifica,Pre-Owned 2022 Chrysler Pacifica Touring L,Chrysler,25055 USD,Van,Pacifica,2024-08-21 19:22:26
used,Used 2022 Chrysler Pacifica,Pre-Owned 2022 Chrysler Pacifica Touring L,Chrysler,25000 USD,Van,Pacifica,2024-01-09 05:17:23
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer LT,Chevrolet,24804 USD,SUV,Blazer,2024-08-01 04:33:06
used,Used 2021 Subaru Crosstrek,Pre-Owned 2021 Subaru Crosstrek Premium,Subaru,21950 USD,SUV,Crosstrek,2024-01-07 18:30:21
used,Used 2022 Chrysler Pacifica,Pre-Owned 2022 Chrysler Pacifica Touring L,Chrysler,24667 USD,Van,Pacifica,2024-03-28 15:55:32
used,Used 2021 Buick Envision,Pre-Owned 2021 Buick Envision Preferred,Buick,24456 USD,SUV,Envision,2024-08-27 11:16:45
used,Used 2017 Ford F-150,Pre-Owned 2017 Ford F-150 XLT,Ford,24087 USD,Truck,F-150,2024-08-25 16:39:04
used,Used 2016 Chevrolet Silverado 1500,Pre-Owned 2016 Chevrolet Silverado 1500 LTZ 4WD Crew Cab 1435 LTZ w1LZ,Chevrolet,23500 USD,Truck,Silverado 1500,2024-11-29 12:18:44
used,Used 2020 GMC Sierra 1500,Pre-Owned 2020 GMC Sierra 1500 SLE Crew Cab,GMC,23313 USD,Truck,Sierra 1500,2024-07-14 23:21:55
used,Used 2022 Ford Edge,Pre-Owned 2022 Ford Edge SEL,Ford,23293 USD,SUV,Edge,2024-07-15 20:29:20
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,23105 USD,SUV,Equinox,2024-03-17 17:39:02
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer 3LT,Chevrolet,23067 USD,SUV,Blazer,2024-10-05 21:39:39
used,Used 2016 Chevrolet Suburban,Pre-Owned 2016 Chevrolet Suburban LT,Chevrolet,23000 USD,SUV,Suburban,2024-07-08 09:26:10
used,Used 2018 GMC Sierra 1500,Pre-Owned 2018 GMC Sierra 1500 SLT Crew Cab,GMC,22719 USD,Truck,Sierra 1500,2024-03-24 15:27:18
used,Used 2022 Buick Encore GX,Pre-Owned 2022 Buick Encore GX Preferred,Buick,22606 USD,SUV,Encore GX,2024-11-25 15:44:41
used,Used 2020 Toyota RAV4,Pre-Owned 2020 Toyota RAV4 XLE,Toyota,22556 USD,SUV,RAV4,2024-09-04 22:12:25
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,22233 USD,SUV,Equinox,2024-11-06 15:30:25
used,Used 2020 Ford Edge,Pre-Owned 2020 Ford Edge SEL,Ford,22145 USD,SUV,Edge,2024-03-19 00:17:32
used,Used 2022 GMC Terrain,Pre-Owned 2022 GMC Terrain SLE,GMC,24498 USD,SUV,Terrain,2024-08-13 02:12:59
cpo,CPO 2017 Ford F-150,Pre-Owned 2017 Ford F-150 XLT,Ford,24087 USD,Truck,F-150,2024-04-02 12:03:50
cpo,Used 2016 Chevrolet Silverado 1500,Pre-Owned 2016 Chevrolet Silverado 1500 LTZ 4WD Crew Cab 1435 LTZ w1LZ,Chevrolet,23500 USD,Truck,Silverado 1500,2024-03-16 08:59:59
cpo,Used 2020 GMC Sierra 1500,Pre-Owned 2020 GMC Sierra 1500 SLE Crew Cab,GMC,23313 USD,Truck,Sierra 1500,2024-04-02 08:16:55
cpo,Used 2022 Ford Edge,Pre-Owned 2022 Ford Edge SEL,Ford,23293 USD,SUV,Edge,2024-11-04 01:14:24
cpo,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,23105 USD,SUV,Equinox,2024-05-22 00:21:16
cpo,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer 3LT,Chevrolet,23067 USD,SUV,Blazer,2024-03-30 12:11:11
cpo,Used 2016 Chevrolet Suburban,Pre-Owned 2016 Chevrolet Suburban LT,Chevrolet,23000 USD,SUV,Suburban,2024-03-30 20:52:49
cpo,Used 2018 GMC Sierra 1500,Pre-Owned 2018 GMC Sierra 1500 SLT Crew Cab,GMC,22719 USD,Truck,Sierra 1500,2024-01-01 13:02:30
cpo,Used 2022 Buick Encore GX,Pre-Owned 2022 Buick Encore GX Preferred,Buick,22606 USD,SUV,Encore GX,2024-05-12 07:55:27
cpo,Used 2020 Toyota RAV4,Pre-Owned 2020 Toyota RAV4 XLE,Toyota,22556 USD,SUV,RAV4,2024-03-06 00:49:44
cpo,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,22233 USD,SUV,Equinox,2024-04-26 19:07:34
cpo,Used 2020 Ford Edge,Pre-Owned 2020 Ford Edge SEL,Ford,22145 USD,SUV,Edge,2024-04-13 06:52:56
cpo,Used 2022 GMC Terrain,Pre-Owned 2022 GMC Terrain SLE,GMC,24498 USD,SUV,Terrain,2024-06-21 04:10:53